k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
54,0.622847813,0.125717396,0.125717396,0.125717396,0.125717396,0.125717396,0.125717396,0.622847813,0.125717396,0.125717396,0.125717396,0.622847813,0.5,0.5,0.5,0.75,0.75,0.75
55,0.5,0.5,0.5,0.75,0.75,0.75,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625
56,0,0,0,0,0,0.5,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75
57,0.304103587,0.304103587,0,0.695896413,0.695896413,0,0.804103587,0.195896413,0.5,0.195896413,0.804103587,0.5,0,0,0,0.5,0.5,0.5
58,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.282406814,0,0.5,0.717593186
59,0.5,0.5,0.5,0.75,0.75,0.75,0.125,0.125,0.125,0.125,0.625,0.125,0.625,0.125,0.125,0.125,0.125,0.625
60,0.25,0.25,0,0.75,0.75,0,0.84836228,0.34836228,0.19672456,0.34836228,0.15163772,0.5,0.65163772,0.84836228,0.5,0.15163772,0.65163772,0.80327544
61,0.842619141,0.842619141,0.295578639,0.157380859,0.157380859,0.704421361,0.144477925,0.144477925,0.02903667,0.60157848,0.60157848,0.400842138,0.39842152,0.39842152,0.599157862,0.855522075,0.855522075,0.97096333
62,0.301697612,0.301697612,0,0.698302388,0.698302388,0,0.801697612,0.198302388,0.5,0.198302388,0.801697612,0.5,0,0,0,0.5,0.5,0.5
63,0.666666667,0.333333333,0,0.333333333,0.666666667,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5
64,0,0,0,0,0,0.5,0.40081691,0.59918309,0.25,0.59918309,0.40081691,0.75,0.694367854,0.305632146,0.25,0.305632146,0.694367854,0.75
65,0.25,0.25,0,0.75,0.75,0,0.837002368,0.337002368,0.174004735,0.337002368,0.162997632,0.5,0.662997632,0.837002368,0.5,0.162997632,0.662997632,0.825995265
66,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.278547608,0.5,0.5,0.721452392
67,0.166577787,0.833422213,0.031646684,0.833422213,0.166577787,0.531646684,0.166721259,0.833278741,0.434086552,0.833278741,0.166721259,0.934086552,0.499944326,0.500055674,0.259266794,0.500055674,0.499944326,0.759266794
68,0.5,0.5,0.5,0.75,0.75,0.75,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625
69,0.5,0.5,0,0.75,0.25,0.5,0.25,0.75,0.5,0,0,0,0.353645053,0.353645053,0,0.646354947,0.646354947,0
70,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.666666667,0.333333333,0.264690034,0.333333333,0.666666667,0.735309966
71,0.5,0,0.35647841,0,0.5,0.64352159,0,0,0,0.5,0.5,0,0,0.5,0.204008086,0.5,0,0.795991914
72,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625,0.5,0.5,0.5,0.75,0.75,0.75
73,0.25,0.25,0,0.75,0.75,0,0.837949599,0.337949599,0.175899199,0.337949599,0.162050401,0.5,0.662050401,0.837949599,0.5,0.162050401,0.662050401,0.824100801
74,0.30322429,0.30322429,0,0.69677571,0.69677571,0,0.80322429,0.19677571,0.5,0.19677571,0.80322429,0.5,0,0,0,0.5,0.5,0.5
75,0,0,0,0.5,0.5,0,0,0.5,0.363074907,0.5,0,0.636925093,0.5,0,0.202321453,0,0.5,0.797678547
76,0,0.5,0.325625775,0.5,0,0.674374225,0,0,0,0.5,0.5,0,0.5,0,0.179301253,0,0.5,0.820698747
77,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0,0,0,0,0,0.5
78,0.302107838,0.302107838,0,0.697892162,0.697892162,0,0.802107838,0.197892162,0.5,0.197892162,0.802107838,0.5,0,0,0,0.5,0.5,0.5
79,0,0,0,0.5,0.5,0,0,0.5,0.365575665,0.5,0,0.634424335,0.5,0,0.202614641,0,0.5,0.797385359
80,0.382763844,0.337890366,0.044873478,0.793016888,0.337890366,0.455126522,0.206983112,0.662109634,0.544873478,0.617236156,0.662109634,0.955126522,0.205611636,0.955611636,0.25,0.794388364,0.044388364,0.75
81,0.5,0,0.325264572,0,0.5,0.674735428,0,0,0,0.5,0.5,0,0,0.5,0.177526367,0.5,0,0.822473633
82,0.749703881,0.250296119,0.25,0.438764467,0.561235533,0.25,0.561235533,0.438764467,0.75,0.250296119,0.749703881,0.75,0.102533408,0.897466592,0.25,0.897466592,0.102533408,0.75
83,0,0,0,0.651847409,0.348152591,0.348152591,0.348152591,0.651847409,0.348152591,0.348152591,0.348152591,0.651847409,0.651847409,0.651847409,0.651847409,0.5,0.5,0.5
84,0,0,0,0.5,0.5,0.5,0.296319246,0.296319246,0,0.703680754,0.703680754,0,0.796319246,0.203680754,0.5,0.203680754,0.796319246,0.5
85,0,0,0,0.5,0.5,0,0,0.5,0.327329845,0.5,0,0.672670155,0.5,0,0.183864957,0,0.5,0.816135043
86,0,0,0,0.666666667,0.333333333,0.25,0,0,0.5,0.333333333,0.666666667,0.75,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75
87,0.121036607,0.408634625,0,0.878963393,0.591365375,0,0.621036607,0.091365375,0.5,0.378963393,0.908634625,0.5,0,0,0,0.5,0.5,0.5
